1hk4,5.31
1ha2,5.54
1gni,8.07
1nhu,5.66
2d3z,6.64
2d3u,6.92
1ajp,2.23
1ai5,3.72
1ajq,4.31
1gpk,5.37
1h23,8.35
1e66,9.89
2rkm,3.9
1b9j,5.96
1b7h,8.02
1u2y,1.74
1u33,4.6
1xd1,7.92
1uwt,5.97
2ceq,7.28
2cer,9.22
2qwb,2.74
2qwd,4.85
2qwe,7.48
2j77,4.89
2j78,6.42
2cet,8.02
1m0n,2.22
1zc9,3.22
1m0q,3.89
2fdp,7.59
1fkn,8.8
2g94,9.52
1v16,3.87
1olu,4.41
1ols,5.82
1tok,2.47
1toj,3.39
1toi,4.05
1n2v,4.08
1k4g,5.85
1s39,7.7
1kv1,5.94
2bak,7.43
2baj,8.4
1ndw,5.23
1ndy,6.17
1ndz,8.11
2hdq,1.4
1l2s,4.59
1xgj,6.0
1q8t,4.76
1ydt,7.32
1re8,9.52
1fo0,5.59
1g7q,6.06
1fzk,8.4
1m2q,6.1
1om1,6.77
1zoe,7.4
1nwl,2.39
1c84,5.0
1nny,7.66
5er1,6.02
2er9,7.4
4er2,9.3
1ppm,5.8
1apw,8.0
1bxo,10.0
1nje,3.8
1tsy,4.96
1nja,6.31
4tln,3.72
1tmn,7.3
4tmn,10.1
1fh7,5.24
1fh9,6.43
1fh8,6.89
2fzc,2.7
2h3e,5.7
1d09,7.57
2ctc,3.89
8cpa,9.15
7cpa,13.9
1e1v,4.92
1b39,6.92
1pxo,8.7
1abf,5.42
5abp,6.64
8abp,8.0
1bcu,3.28
1vzq,7.44
1sl3,11.8
2brb,4.86
2brm,5.89
1nvq,8.25
1jqd,5.16
1jqe,6.44
2aou,7.73
1y1m,1.82
1pb9,3.62
1pbq,6.27
1vfn,5.6
1v48,7.8
1b8o,10.6
1p1q,4.89
1syh,6.31
1ftm,7.61
1fcx,7.19
1fd0,8.4
1fcz,9.22
1f4e,2.96
1f4f,4.62
1f4g,6.48
1f5k,3.74
1o3p,6.66
1sqa,9.21
2b1v,5.74
2fai,6.24
2ayr,9.29
1avn,3.9
1ttm,7.35
1if7,10.5
2bok,6.55
1nfy,8.89
1mq6,11.1
1ax0,3.13
1axz,3.2
1gz9,3.51
2usn,6.51
2d1o,7.7
1hfs,8.7
2flb,5.74
2bz6,7.09
2b7d,8.7
1loq,3.7
1lol,6.39
1x1z,11.0
4tim,2.16
1kv5,4.22
1trd,5.4
1bra,1.82
1j16,3.84
1j17,5.22
1utp,1.44
1v2o,4.73
1o3f,7.96
1jys,3.52
1nc1,6.12
1y6q,11.7
1bma,4.59
1ela,6.36
1elb,7.15
1pr5,3.92
1a69,5.3
1k9s,6.52
3pce,2.0
3pch,5.4
3pcj,7.22
1pz5,5.4
2cgr,7.28
1flr,10.0
2gss,4.94
3gss,5.82
10gs,6.4
1l83,3.4
1li6,3.8
1li3,4.25
6std,8.64
2std,9.85
3std,11.1
1jaq,4.48
1zs0,6.15
1zvx,9.22
2d0k,5.02
1dhi,7.26
2drc,9.89
1slg,3.9
1df8,9.7
2f01,13.0
2g8r,3.99
1o0h,5.92
1u1b,7.8
2c02,4.04
1hi4,4.49
2bzz,6.43
1tyr,7.0
1e5a,7.64
2g5u,8.49
1sv3,4.74
1q7a,7.19
1jq9,8.45
1rdj,1.66
1rdi,2.06
1rdl,2.24
4fiv,6.52
1b11,7.39
6fiv,8.08
1a08,5.62
1a1b,6.4
1is0,7.0
1a30,4.3
2f80,8.18
2i0d,12.1
1d7j,3.3
1fki,7.0
1fkb,9.7
6rnt,2.37
1det,4.3
1rnt,5.19
